truck_brand,truck_model,truck_year,engine_model,transmission,axle_type,market_price_mex,ubication
Mack,Anthem,2003,Mack MP8,Eaton Fuller 18-speed,40k,173000,Ciudad de México
Mack,Granite,2019,Mack MP10,Eaton Fuller 18-speed,40k,373000,Oaxaca
International,LT625,2017,Cummins ISC 8.3,Allison 3000,52k,617000,Veracruz
Mack,Granite,2003,Mack MP7,Eaton Fuller 13-speed,40k,153000,Durango
International,Durastar,2009,Cummins ISX15,Eaton Fuller 10-speed,40k,418000,Tlaxcala
Volvo,VNL760,2019,Cummins ISX15,Eaton Fuller 13-speed,46k,543000,Tamaulipas
Mack,Pinnacle,2020,Mack MP10,Eaton Fuller 18-speed,40k,439000,Estado de México
Freightliner,FLD120,2017,Cummins X15,Detroit DT12,40k,600000,Estado de México
Kenworth,W900,2020,PACCAR MX11,Eaton Fuller RTLO-16718B,46k,846000,San Luis Potosí
Peterbilt,389,2010,Cummins ISX15,Eaton UltraShift,52k,450000,Guanajuato
Peterbilt,389,2016,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,538000,Michoacán
Mack,Granite,2019,Mack MP8,Mack mDRIVE,40k,375000,Durango
Kenworth,T370,2008,PACCAR MX11,Eaton Fuller RTLO-16718B,52k,430000,Chiapas
Volvo,VNL760,2019,Cummins ISX15,Eaton Fuller 10-speed,52k,591000,Colima
Freightliner,Cascadia,2001,Cummins X15,Detroit DT12,46k,206000,Colima
Kenworth,T680,2015,Cummins X15,Eaton Fuller 13-speed,46k,639000,Aguascalientes
International,9900i,2021,Cummins ISX15,Eaton Fuller 13-speed,52k,917000,Sinaloa
International,ProStar,2019,Cummins ISC 8.3,Allison 4000,46k,601000,Hidalgo
Freightliner,M2 106,2013,Detroit DD15,Eaton Fuller RTLO-16913A,46k,470000,San Luis Potosí
Volvo,VNL760,2013,Detroit DD13,Allison 4000,40k,403000,Campeche
Kenworth,T370,2003,Cummins X15,Eaton Fuller RTLO-16718B,46k,342000,Baja California Sur
Volvo,VNM,2015,Detroit DD13,Volvo I-Shift,40k,413000,Coahuila
Mack,Granite,2011,Mack MP7,Mack mDRIVE,52k,248000,Hidalgo
Mack,Pinnacle,2011,Mack MP7,Mack mDRIVE,46k,251000,Jalisco
Volvo,VNL670,2019,Detroit DD13,Allison 4000,52k,471000,Hidalgo
Kenworth,T370,2002,PACCAR MX13,Eaton Fuller 13-speed,52k,359000,Hidalgo
Volvo,VNM,2019,Detroit DD13,Volvo I-Shift,40k,467000,Tlaxcala
Kenworth,T680,2012,PACCAR MX13,Eaton Fuller 13-speed,52k,543000,Sinaloa
Kenworth,W900,2011,Cummins ISX15,Eaton Fuller RT-8908LL,52k,530000,Jalisco
Peterbilt,579,2021,PACCAR MX11,Eaton Fuller 18-speed,46k,896000,Baja California Sur
Kenworth,T660,2001,PACCAR MX13,Eaton Fuller 13-speed,46k,298000,Coahuila
Peterbilt,579,2002,Cummins X15,Eaton Fuller 18-speed,40k,309000,Tabasco
International,ProStar,2019,MaxxForce 13,Allison 3000,52k,759000,Querétaro
Peterbilt,579,2010,PACCAR MX13,Eaton UltraShift,40k,450000,Querétaro
International,9900i,2014,Cummins ISC 8.3,Allison 4000,46k,518000,Estado de México
International,9900i,2009,MaxxForce 15,Eaton Fuller 18-speed,46k,419000,Quintana Roo
International,ProStar,2019,Cummins ISX15,Eaton Fuller 18-speed,52k,597000,Yucatán
Peterbilt,389,2009,Cummins ISX15,Eaton Fuller 18-speed,46k,421000,Baja California
Mack,Granite,2019,Mack MP8,Mack mDRIVE,46k,395000,Tamaulipas
Peterbilt,389,2014,Cummins X15,Eaton Fuller 18-speed,52k,568000,Tlaxcala
International,LT625,2005,Cummins ISB 6.7,Eaton Fuller 18-speed,52k,319000,Puebla
Volvo,VNL670,2012,Volvo D13,Volvo I-Shift,46k,379000,Querétaro
Mack,Pinnacle,2016,Mack MP10,Eaton Fuller 13-speed,46k,306000,Estado de México
Kenworth,T370,2022,PACCAR MX11,Eaton Fuller 13-speed,52k,934000,Jalisco
Volvo,VNM,2000,Cummins ISX15,Eaton Fuller 13-speed,52k,179000,Veracruz
Peterbilt,389,2019,PACCAR MX13,Eaton UltraShift,52k,738000,Hidalgo
Peterbilt,389,2009,Cummins ISX15,Eaton UltraShift,46k,423000,Oaxaca
Kenworth,T680,2006,PACCAR MX11,Eaton Fuller RTLO-16913A,46k,411000,Morelos
Freightliner,Cascadia,2006,Mercedes MBE4000,Eaton Fuller RTLO-16913A,46k,316000,Tabasco
Kenworth,W900,2020,Cummins X15,Eaton Fuller RTLO-16718B,40k,775000,Campeche
Kenworth,T680,2008,PACCAR MX13,Eaton Fuller RT-8908LL,40k,423000,San Luis Potosí
Freightliner,M2 106,2010,Cummins ISX15,Detroit DT12,46k,400000,Tamaulipas
International,ProStar,2015,Cummins ISX15,Eaton Fuller 18-speed,52k,569000,Yucatán
Kenworth,T680,2015,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,607000,Veracruz
Freightliner,M2 106,2011,Cummins X15,Eaton Fuller RTLO-16913A,46k,414000,Puebla
Volvo,VNL670,2022,Cummins ISX15,Volvo I-Shift,46k,714000,Chihuahua
Peterbilt,579,2017,Cummins ISX15,Eaton UltraShift,46k,663000,Sinaloa
Freightliner,Cascadia,2011,Cummins ISX15,Detroit DT12,46k,412000,Puebla
Volvo,VNL670,2010,Cummins ISX15,Volvo I-Shift,52k,350000,Baja California
International,Durastar,2020,Cummins ISB 6.7,Eaton Fuller 13-speed,52k,877000,Ciudad de México
Volvo,VNL760,2000,Detroit DD13,Eaton Fuller 10-speed,46k,150000,Estado de México
Freightliner,M2 106,2016,Detroit DD15,Allison 4500RDS,46k,551000,Baja California
Mack,Granite,2022,Mack MP7,Mack mDRIVE,52k,540000,Tabasco
International,9900i,2018,MaxxForce 13,Eaton Fuller 10-speed,46k,688000,Guerrero
Volvo,VNM,2004,Cummins ISX15,Volvo I-Shift,52k,231000,Durango
Freightliner,FLD120,2006,Mercedes MBE4000,Eaton Fuller 13-speed,52k,327000,Baja California Sur
International,ProStar,2014,Cummins ISX15,Allison 3000,52k,537000,Chihuahua
Peterbilt,379,2007,Cummins X15,Eaton Fuller RTLO-16718B,52k,398000,Campeche
Peterbilt,579,2007,Cummins ISX15,Eaton UltraShift,52k,386000,Michoacán
Mack,Anthem,2020,Mack MP7,Eaton Fuller 18-speed,52k,359000,Ciudad de México
Kenworth,T370,2011,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,528000,Michoacán
Kenworth,T660,2017,Cummins X15,Eaton Fuller RTLO-16913A,40k,631000,Tamaulipas
Mack,Anthem,2003,Mack MP7,Eaton Fuller 18-speed,52k,140000,Chihuahua
Peterbilt,579,2017,PACCAR MX11,Eaton UltraShift,52k,587000,Hidalgo
Peterbilt,379,2018,Cummins X15,Eaton Fuller 18-speed,52k,628000,Colima
International,9900i,2000,Cummins ISB 6.7,Eaton Fuller 10-speed,46k,179000,Michoacán
Mack,Pinnacle,2012,Mack MP7,Mack mDRIVE,40k,257000,Oaxaca
Freightliner,Columbia,2009,Mercedes MBE4000,Eaton Fuller RTLO-16913A,52k,368000,Yucatán
Volvo,VNL760,2014,Volvo D13,Eaton Fuller 10-speed,52k,441000,Nuevo León
Volvo,VNL760,2013,Cummins ISX15,Eaton Fuller 13-speed,40k,399000,Guanajuato
Kenworth,T800,2010,Cummins ISX15,Eaton UltraShift,52k,500000,San Luis Potosí
Mack,Pinnacle,2017,Mack MP10,Eaton Fuller 18-speed,40k,328000,Nuevo León
International,ProStar,2016,Cummins ISC 8.3,Eaton Fuller 13-speed,52k,602000,Baja California
Mack,Anthem,2022,Mack MP8,Eaton Fuller 13-speed,52k,521000,Tamaulipas
Mack,Anthem,2007,Mack MP7,Mack mDRIVE,40k,201000,Aguascalientes
Peterbilt,379,2010,Cummins ISX15,Eaton UltraShift,52k,450000,Nayarit
Kenworth,T370,2006,Cummins ISX15,Eaton Fuller RT-8908LL,40k,406000,Guanajuato
Peterbilt,379,2007,Cummins ISX15,Eaton Fuller RTLO-16718B,52k,395000,Nayarit
Peterbilt,389,2008,PACCAR MX13,Eaton UltraShift,40k,406000,Yucatán
Volvo,VNL670,2016,Detroit DD13,Allison 4000,40k,449000,Querétaro
Kenworth,W900,2008,PACCAR MX11,Eaton Fuller RTLO-16913A,46k,441000,Nayarit
Peterbilt,579,2005,PACCAR MX11,Eaton UltraShift,52k,357000,Hidalgo
Peterbilt,379,2020,Cummins ISX15,Eaton Fuller RTLO-16913A,52k,829000,Nayarit
Volvo,VNM,2000,Volvo D13,Volvo I-Shift,40k,218000,Tamaulipas
Freightliner,Cascadia,2015,Detroit DD15,Allison 4500RDS,52k,493000,Quintana Roo
Mack,Pinnacle,2008,Mack MP7,Eaton Fuller 13-speed,52k,215000,Aguascalientes
International,9900i,2022,MaxxForce 15,Eaton Fuller 13-speed,40k,898000,Tlaxcala
Mack,Anthem,2015,Mack MP10,Eaton Fuller 18-speed,52k,311000,Durango
Kenworth,W900,2017,Cummins X15,Eaton Fuller 13-speed,40k,695000,Colima
International,Durastar,2007,MaxxForce 13,Allison 4000,40k,343000,Sonora
Peterbilt,579,2019,PACCAR MX13,Eaton UltraShift,52k,738000,Nayarit
Volvo,VNL670,2003,Cummins ISX15,Volvo I-Shift,46k,237000,Tlaxcala
Peterbilt,379,2013,Cummins X15,Eaton Fuller RTLO-16913A,46k,492000,Puebla
Volvo,VNL670,2009,Volvo D13,Allison 4000,40k,330000,Guanajuato
International,9900i,2008,Cummins ISB 6.7,Eaton Fuller 13-speed,46k,375000,San Luis Potosí
Volvo,VNM,2013,Cummins ISX15,Eaton Fuller 10-speed,40k,388000,Quintana Roo
Freightliner,M2 106,2011,Detroit DD13,Allison 4500RDS,46k,421000,Sinaloa
International,LT625,2022,Cummins ISX15,Eaton Fuller 13-speed,52k,766000,Nayarit
Volvo,VNM,2021,Detroit DD13,Allison 4000,52k,598000,Veracruz
Kenworth,W900,2014,PACCAR MX13,Eaton Fuller 13-speed,52k,620000,Baja California Sur
Kenworth,T800,2005,Cummins X15,Eaton UltraShift,52k,401000,Morelos
Mack,Pinnacle,2007,Mack MP8,Eaton Fuller 18-speed,46k,202000,Morelos
Volvo,VNM,2009,Cummins ISX15,Allison 4000,40k,324000,Chihuahua
Mack,Anthem,2022,Mack MP7,Eaton Fuller 13-speed,52k,414000,Sonora
International,Durastar,2010,Cummins ISC 8.3,Eaton Fuller 18-speed,46k,450000,Michoacán
Volvo,VNL760,2006,Cummins ISX15,Eaton Fuller 10-speed,52k,280000,Oaxaca
Mack,Pinnacle,2006,Mack MP7,Mack mDRIVE,40k,174000,Tlaxcala
Mack,Pinnacle,2002,Mack MP8,Mack mDRIVE,52k,115000,Tabasco
Mack,Pinnacle,2011,Mack MP10,Mack mDRIVE,52k,252000,Estado de México
Kenworth,T680,2003,PACCAR MX13,Eaton Fuller RTLO-16913A,52k,315000,Yucatán
Volvo,VNM,2019,Detroit DD13,Eaton Fuller 13-speed,52k,516000,Oaxaca
Volvo,VNL670,2016,Detroit DD13,Eaton Fuller 13-speed,46k,487000,Querétaro
Mack,Pinnacle,2014,Mack MP8,Eaton Fuller 18-speed,52k,290000,Baja California Sur
Volvo,VNL670,2001,Volvo D13,Allison 4000,46k,187000,Oaxaca
Kenworth,T680,2014,Cummins X15,Eaton UltraShift,40k,598000,Tlaxcala
Mack,Pinnacle,2022,Mack MP10,Mack mDRIVE,40k,392000,Chihuahua
Freightliner,Cascadia,2004,Detroit DD13,Allison 4500RDS,40k,244000,Tlaxcala
Peterbilt,579,2015,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,557000,Estado de México
Freightliner,FLD120,2001,Cummins X15,Allison 4500RDS,52k,194000,Baja California
Kenworth,T660,2004,PACCAR MX13,Eaton Fuller 13-speed,52k,327000,Colima
Kenworth,T370,2009,PACCAR MX13,Eaton Fuller RTLO-16718B,40k,457000,Estado de México
Mack,Granite,2001,Mack MP10,Mack mDRIVE,46k,161000,Tabasco
Freightliner,FLD120,2000,Detroit DD13,Detroit DT12,40k,256000,Nayarit
Peterbilt,579,2009,PACCAR MX13,Eaton Fuller 13-speed,46k,427000,Veracruz
Freightliner,Columbia,2016,Mercedes MBE4000,Eaton Fuller RTLO-16913A,46k,543000,Guerrero
Peterbilt,379,2009,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,432000,Querétaro
Freightliner,Columbia,2003,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,227000,Ciudad de México
Mack,Granite,2000,Mack MP8,Mack mDRIVE,46k,139000,Estado de México
Freightliner,Columbia,2008,Cummins ISX15,Eaton Fuller 10-speed,46k,364000,Nuevo León
Mack,Pinnacle,2005,Mack MP7,Eaton Fuller 13-speed,40k,184000,Morelos
Peterbilt,389,2022,Cummins X15,Eaton Fuller 18-speed,46k,880000,Veracruz
Mack,Anthem,2018,Mack MP7,Eaton Fuller 13-speed,46k,379000,Aguascalientes
Freightliner,FLD120,2016,Detroit DD13,Eaton Fuller 13-speed,52k,506000,Nuevo León
Freightliner,FLD120,2017,Mercedes MBE4000,Detroit DT12,40k,504000,Tlaxcala
Kenworth,T800,2000,Cummins ISX15,Eaton Fuller 18-speed,40k,304000,Michoacán
Volvo,VNL760,2007,Cummins ISX15,Allison 4000,40k,267000,Campeche
Peterbilt,579,2022,Cummins ISX15,Eaton Fuller 13-speed,40k,892000,Ciudad de México
Volvo,VNL760,2013,Detroit DD13,Allison 4000,52k,388000,Baja California
Volvo,VNL670,2004,Cummins ISX15,Eaton Fuller 13-speed,40k,222000,Oaxaca
Volvo,VNL760,2005,Detroit DD13,Eaton Fuller 13-speed,46k,272000,Guerrero
Freightliner,Cascadia,2006,Cummins X15,Eaton Fuller 13-speed,46k,337000,Aguascalientes
Volvo,VNM,2004,Volvo D13,Eaton Fuller 13-speed,52k,265000,Sonora
Mack,Pinnacle,2015,Mack MP8,Mack mDRIVE,46k,305000,Baja California Sur
Volvo,VNL760,2000,Volvo D13,Volvo I-Shift,52k,145000,Ciudad de México
Freightliner,FLD120,2006,Detroit DD13,Detroit DT12,40k,295000,Hidalgo
Mack,Pinnacle,2009,Mack MP10,Eaton Fuller 13-speed,46k,221000,Veracruz
Mack,Anthem,2000,Mack MP8,Eaton Fuller 18-speed,52k,136000,Jalisco
International,9900i,2015,MaxxForce 13,Eaton Fuller 18-speed,40k,558000,Zacatecas
Freightliner,Columbia,2001,Cummins X15,Eaton Fuller RTLO-16913A,52k,236000,Guerrero
International,LT625,2000,Cummins ISX15,Eaton Fuller 13-speed,40k,248000,Chiapas
Volvo,VNL760,2008,Volvo D13,Allison 4000,46k,305000,San Luis Potosí
Volvo,VNL670,2001,Volvo D13,Allison 4000,46k,210000,San Luis Potosí
Kenworth,T660,2020,PACCAR MX11,Eaton UltraShift,46k,810000,Estado de México
Volvo,VNL760,2012,Volvo D13,Eaton Fuller 13-speed,46k,378000,Michoacán
Volvo,VNL760,2016,Volvo D13,Eaton Fuller 13-speed,40k,443000,Tlaxcala
Freightliner,FLD120,2019,Cummins ISX15,Eaton Fuller 10-speed,40k,558000,Guerrero
International,ProStar,2022,Cummins ISX15,Eaton Fuller 13-speed,46k,902000,Sinaloa
Kenworth,T680,2020,Cummins ISX15,Eaton Fuller RTLO-16718B,40k,875000,Durango
International,ProStar,2002,Cummins ISX15,Eaton Fuller 10-speed,52k,279000,Sonora
International,9900i,2020,Cummins ISB 6.7,Allison 4000,46k,744000,Veracruz
Mack,Granite,2007,Mack MP7,Eaton Fuller 18-speed,46k,197000,Michoacán
Kenworth,T800,2013,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,570000,Sinaloa
Peterbilt,579,2010,PACCAR MX11,Eaton Fuller 13-speed,46k,450000,Morelos
International,LT625,2011,MaxxForce 13,Allison 4000,46k,473000,San Luis Potosí
International,LT625,2020,Cummins ISB 6.7,Allison 3000,46k,884000,Durango
Kenworth,W900,2001,Cummins X15,Eaton Fuller 13-speed,52k,260000,Hidalgo
International,9900i,2001,Cummins ISB 6.7,Eaton Fuller 18-speed,46k,229000,Guanajuato
Mack,Anthem,2003,Mack MP8,Eaton Fuller 13-speed,52k,145000,Querétaro
Peterbilt,379,2015,Cummins ISX15,Eaton Fuller 13-speed,52k,528000,Puebla
Peterbilt,579,2010,Cummins ISX15,Eaton Fuller 18-speed,46k,450000,Chiapas
Volvo,VNL670,2008,Detroit DD13,Eaton Fuller 10-speed,40k,315000,Chihuahua
Volvo,VNL670,2010,Cummins ISX15,Allison 4000,46k,350000,San Luis Potosí
Volvo,VNM,2022,Cummins ISX15,Eaton Fuller 10-speed,46k,779000,Durango
Mack,Granite,2008,Mack MP8,Eaton Fuller 13-speed,40k,203000,Morelos
Peterbilt,579,2011,Cummins ISX15,Eaton Fuller 13-speed,46k,473000,Guerrero
Volvo,VNL760,2003,Cummins ISX15,Volvo I-Shift,52k,252000,Baja California
Freightliner,Columbia,2005,Mercedes MBE4000,Eaton Fuller 13-speed,52k,324000,Yucatán
International,ProStar,2001,MaxxForce 15,Eaton Fuller 18-speed,40k,284000,Campeche
International,9900i,2007,Cummins ISB 6.7,Allison 4000,46k,367000,Guanajuato
Mack,Granite,2020,Mack MP8,Mack mDRIVE,46k,494000,Veracruz
Kenworth,T660,2005,PACCAR MX11,Eaton UltraShift,40k,375000,Guanajuato
Freightliner,FLD120,2005,Detroit DD13,Eaton Fuller 13-speed,46k,287000,Chihuahua
Freightliner,M2 106,2007,Mercedes MBE4000,Allison 4500RDS,40k,329000,Veracruz
Kenworth,T800,2017,Cummins X15,Eaton Fuller 13-speed,40k,728000,Oaxaca
Freightliner,FLD120,2009,Detroit DD13,Eaton Fuller 10-speed,46k,364000,Zacatecas
Kenworth,T800,2022,PACCAR MX11,Eaton Fuller RTLO-16913A,46k,806000,Quintana Roo
Kenworth,T370,2001,PACCAR MX11,Eaton Fuller RTLO-16913A,40k,258000,Baja California
Peterbilt,389,2021,PACCAR MX11,Eaton UltraShift,46k,751000,Guanajuato
Kenworth,T800,2001,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,303000,Jalisco
Kenworth,W900,2009,Cummins ISX15,Eaton Fuller RTLO-16718B,40k,468000,Veracruz
Peterbilt,389,2015,PACCAR MX13,Eaton Fuller 13-speed,46k,530000,Puebla
Freightliner,Cascadia,2015,Mercedes MBE4000,Eaton Fuller RTLO-16913A,46k,481000,Querétaro
Volvo,VNM,2007,Detroit DD13,Eaton Fuller 13-speed,46k,305000,Yucatán
Peterbilt,389,2012,PACCAR MX13,Eaton Fuller 13-speed,46k,497000,Yucatán
Freightliner,Columbia,2011,Cummins X15,Detroit DT12,52k,418000,Chiapas
Peterbilt,389,2019,PACCAR MX13,Eaton Fuller RTLO-16913A,40k,637000,Hidalgo
Freightliner,M2 106,2006,Cummins X15,Eaton Fuller 13-speed,52k,327000,Jalisco
Volvo,VNL760,2000,Detroit DD13,Allison 4000,46k,228000,Tlaxcala
Volvo,VNL670,2015,Volvo D13,Volvo I-Shift,40k,458000,Tabasco
Volvo,VNM,2015,Cummins ISX15,Volvo I-Shift,52k,458000,Campeche
Volvo,VNL760,2011,Cummins ISX15,Volvo I-Shift,40k,366000,Tamaulipas
Volvo,VNL760,2019,Cummins ISX15,Allison 4000,52k,588000,Chiapas
Freightliner,Cascadia,2006,Detroit DD15,Allison 4500RDS,46k,333000,Hidalgo
Mack,Anthem,2000,Mack MP10,Mack mDRIVE,40k,94000,Zacatecas
Peterbilt,579,2014,PACCAR MX11,Eaton UltraShift,40k,521000,Nuevo León
Freightliner,M2 106,2021,Cummins X15,Eaton Fuller RTLO-16913A,40k,724000,Quintana Roo
Peterbilt,579,2020,PACCAR MX11,Eaton Fuller 18-speed,52k,717000,Veracruz
Kenworth,W900,2008,Cummins ISX15,Eaton Fuller 18-speed,46k,447000,Jalisco
International,9900i,2004,MaxxForce 15,Eaton Fuller 13-speed,40k,285000,Ciudad de México
Kenworth,T800,2002,PACCAR MX11,Eaton Fuller RTLO-16718B,46k,358000,Ciudad de México
Mack,Granite,2022,Mack MP8,Mack mDRIVE,52k,463000,Colima
Kenworth,T800,2010,PACCAR MX11,Eaton Fuller RTLO-16913A,46k,500000,Michoacán
Kenworth,T370,2014,Cummins ISX15,Eaton Fuller 13-speed,46k,595000,Guanajuato
Peterbilt,389,2016,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,584000,Nayarit
Kenworth,W900,2022,PACCAR MX13,Eaton Fuller 13-speed,52k,890000,Guanajuato
Volvo,VNM,2022,Volvo D13,Volvo I-Shift,52k,685000,Morelos
Mack,Anthem,2017,Mack MP8,Eaton Fuller 13-speed,52k,308000,Guerrero
Kenworth,W900,2020,Cummins X15,Eaton Fuller RT-8908LL,46k,875000,Baja California
Freightliner,Cascadia,2012,Mercedes MBE4000,Eaton Fuller RTLO-16913A,46k,442000,Durango
International,9900i,2018,Cummins ISC 8.3,Eaton Fuller 10-speed,40k,660000,Ciudad de México
Mack,Anthem,2016,Mack MP7,Mack mDRIVE,40k,293000,Sonora
International,ProStar,2007,Cummins ISX15,Eaton Fuller 18-speed,46k,391000,Aguascalientes
Kenworth,T370,2010,PACCAR MX13,Eaton Fuller 13-speed,46k,500000,Guanajuato
Freightliner,FLD120,2005,Detroit DD13,Detroit DT12,52k,287000,Sonora
International,Durastar,2015,Cummins ISB 6.7,Allison 3000,46k,593000,Querétaro
Volvo,VNL670,2017,Detroit DD13,Eaton Fuller 13-speed,40k,508000,Tlaxcala
Kenworth,T660,2012,Cummins ISX15,Eaton Fuller RTLO-16718B,40k,533000,Baja California Sur
Peterbilt,579,2012,PACCAR MX11,Eaton UltraShift,52k,486000,Oaxaca
Volvo,VNL760,2020,Detroit DD13,Allison 4000,52k,589000,Chihuahua
Kenworth,T660,2001,Cummins ISX15,Eaton Fuller RT-8908LL,52k,321000,Querétaro
Freightliner,FLD120,2019,Detroit DD13,Detroit DT12,52k,600000,Jalisco
Mack,Pinnacle,2016,Mack MP7,Eaton Fuller 18-speed,46k,338000,Puebla
Kenworth,W900,2007,PACCAR MX13,Eaton Fuller 13-speed,46k,386000,Sinaloa
International,9900i,2008,Cummins ISB 6.7,Eaton Fuller 18-speed,46k,393000,Chiapas
Kenworth,T800,2011,PACCAR MX11,Eaton Fuller RTLO-16913A,46k,527000,San Luis Potosí
Kenworth,T660,2014,Cummins X15,Eaton Fuller 13-speed,40k,565000,Jalisco
International,ProStar,2002,Cummins ISX15,Eaton Fuller 18-speed,40k,241000,Guanajuato
Volvo,VNL670,2012,Volvo D13,Eaton Fuller 13-speed,52k,372000,Tabasco
Mack,Pinnacle,2021,Mack MP8,Eaton Fuller 13-speed,52k,478000,Tamaulipas
Volvo,VNL760,2011,Cummins ISX15,Eaton Fuller 10-speed,46k,364000,Baja California
Freightliner,M2 106,2005,Cummins ISX15,Detroit DT12,52k,306000,Colima
Peterbilt,379,2017,PACCAR MX13,Eaton Fuller 13-speed,46k,655000,Campeche
Kenworth,W900,2011,PACCAR MX11,Eaton Fuller RT-8908LL,46k,519000,Querétaro
International,ProStar,2005,Cummins ISB 6.7,Eaton Fuller 10-speed,40k,338000,Ciudad de México
International,LT625,2004,Cummins ISB 6.7,Eaton Fuller 13-speed,46k,276000,Chihuahua
Freightliner,Columbia,2009,Cummins X15,Eaton Fuller RTLO-16913A,40k,376000,Campeche
Kenworth,T800,2022,Cummins ISX15,Eaton Fuller RTLO-16718B,46k,1011000,Nayarit
Mack,Granite,2011,Mack MP10,Eaton Fuller 13-speed,46k,250000,Nayarit
Peterbilt,379,2021,PACCAR MX11,Eaton Fuller RTLO-16718B,52k,719000,Baja California Sur
Kenworth,T370,2001,Cummins X15,Eaton Fuller RTLO-16718B,52k,309000,San Luis Potosí
Mack,Pinnacle,2004,Mack MP8,Mack mDRIVE,52k,167000,Guerrero
Mack,Pinnacle,2002,Mack MP10,Mack mDRIVE,40k,128000,Coahuila
Peterbilt,379,2011,PACCAR MX13,Eaton UltraShift,46k,464000,Hidalgo
Mack,Anthem,2003,Mack MP7,Eaton Fuller 18-speed,40k,124000,Colima
Volvo,VNL760,2019,Detroit DD13,Eaton Fuller 10-speed,46k,494000,Querétaro
Peterbilt,379,2011,Cummins X15,Eaton UltraShift,52k,464000,Ciudad de México
Kenworth,T370,2012,Cummins X15,Eaton Fuller 18-speed,46k,543000,Aguascalientes
Mack,Anthem,2002,Mack MP10,Mack mDRIVE,46k,127000,Estado de México
Volvo,VNL760,2009,Cummins ISX15,Eaton Fuller 10-speed,52k,328000,Estado de México
Volvo,VNL760,2005,Volvo D13,Eaton Fuller 10-speed,40k,267000,Baja California
Kenworth,W900,2006,Cummins ISX15,Eaton Fuller RTLO-16913A,40k,410000,Estado de México
Peterbilt,389,2005,PACCAR MX11,Eaton Fuller RTLO-16718B,46k,356000,Oaxaca
International,ProStar,2007,Cummins ISC 8.3,Eaton Fuller 10-speed,40k,350000,Querétaro
Volvo,VNM,2017,Cummins ISX15,Eaton Fuller 13-speed,40k,470000,Chiapas
Freightliner,FLD120,2009,Cummins ISX15,Eaton Fuller 10-speed,46k,381000,Quintana Roo
Mack,Granite,2002,Mack MP8,Eaton Fuller 13-speed,46k,142000,Guerrero
Peterbilt,579,2022,Cummins X15,Eaton UltraShift,52k,949000,Guerrero
Mack,Granite,2012,Mack MP10,Eaton Fuller 13-speed,52k,268000,Durango
Peterbilt,389,2004,Cummins ISX15,Eaton Fuller 13-speed,46k,270000,Puebla
Freightliner,M2 106,2018,Detroit DD13,Allison 4500RDS,46k,527000,Tlaxcala
International,LT625,2002,Cummins ISC 8.3,Allison 3000,52k,212000,Aguascalientes
Peterbilt,379,2000,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,193000,Campeche
Freightliner,FLD120,2000,Cummins ISX15,Eaton Fuller 13-speed,52k,157000,Tamaulipas
Kenworth,T800,2005,Cummins X15,Eaton Fuller RT-8908LL,52k,397000,Nuevo León
Mack,Anthem,2009,Mack MP7,Mack mDRIVE,46k,225000,Baja California
Volvo,VNM,2009,Cummins ISX15,Allison 4000,46k,335000,Puebla
Mack,Anthem,2002,Mack MP8,Mack mDRIVE,46k,130000,Sonora
Volvo,VNL760,2005,Detroit DD13,Allison 4000,46k,261000,Coahuila
Peterbilt,579,2015,PACCAR MX13,Eaton Fuller 18-speed,52k,600000,Yucatán
Peterbilt,579,2001,PACCAR MX11,Eaton Fuller 18-speed,46k,278000,Sonora
Peterbilt,389,2013,PACCAR MX13,Eaton Fuller 18-speed,40k,521000,Puebla
Mack,Anthem,2007,Mack MP10,Eaton Fuller 13-speed,52k,188000,Puebla
International,9900i,2013,MaxxForce 15,Eaton Fuller 10-speed,40k,517000,Michoacán
Mack,Granite,2009,Mack MP7,Eaton Fuller 13-speed,40k,226000,Querétaro
Kenworth,T370,2015,PACCAR MX11,Eaton Fuller 13-speed,46k,652000,Yucatán
Kenworth,T660,2008,PACCAR MX13,Eaton Fuller RT-8908LL,40k,440000,Sonora
Kenworth,T800,2007,Cummins ISX15,Eaton Fuller 18-speed,40k,428000,Durango
International,ProStar,2013,MaxxForce 15,Eaton Fuller 10-speed,40k,519000,Puebla
Freightliner,Columbia,2019,Detroit DD13,Allison 4500RDS,52k,607000,Chihuahua
Mack,Anthem,2001,Mack MP8,Eaton Fuller 13-speed,46k,113000,Quintana Roo
Mack,Anthem,2019,Mack MP10,Mack mDRIVE,40k,350000,Morelos
Volvo,VNL670,2008,Detroit DD13,Eaton Fuller 10-speed,46k,317000,Quintana Roo
Mack,Anthem,2012,Mack MP7,Eaton Fuller 18-speed,46k,269000,Baja California Sur
International,9900i,2007,Cummins ISX15,Eaton Fuller 10-speed,52k,345000,Querétaro
Kenworth,T680,2010,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,500000,Campeche
